date,temp_max_c,temp_min_c,temp_mean_c,precip_mm,humidity_max,humidity_min,wind_max_kmh,wind_mean_kmh,et0_mm,solar_mj,vpd_kpa,temp_range_c,is_hot_day,is_very_hot,humidity_mean,humidity_range,is_dry_day,is_humid_day,is_rainy_day,is_heavy_rain,no_rain,is_windy,evap_risk
2026-01-14,29.4,23.1,25.6,0.2,98,69,17.3,13.8,4.14,20.73,1.25,6.299999999999997,0,0,83.5,29,0,1,0,0,0,0,19.465
2026-01-15,29.5,22.2,25.2,0.0,94,61,19.6,15.1,4.64,22.75,1.62,7.300000000000001,0,0,77.5,33,0,1,0,0,1,0,21.73
2026-01-16,28.8,21.8,24.8,0.0,96,59,22.9,15.6,4.55,21.68,1.63,7.0,0,0,77.5,37,0,1,0,0,1,1,21.695
2026-01-17,28.8,20.1,24.0,0.0,93,54,17.1,12.7,4.45,21.44,1.77,8.7,0,0,73.5,39,0,1,0,0,1,0,22.05
2026-01-18,28.6,19.4,23.8,0.0,92,57,12.5,9.2,4.34,21.94,1.66,9.200000000000003,0,0,74.5,35,0,1,0,0,1,0,20.745
2026-01-19,28.8,19.6,23.8,0.0,94,58,12.5,9.2,4.51,22.72,1.66,9.2,0,0,76.0,36,0,1,0,0,1,0,20.22
2026-01-20,28.5,19.0,23.7,0.0,94,57,16.7,12.0,4.63,22.79,1.65,9.5,0,0,75.5,37,0,1,0,0,1,0,21.055
2026-01-21,29.0,18.5,23.6,0.0,93,51,19.4,11.8,4.66,22.77,1.94,10.5,0,0,72.0,42,0,1,0,0,1,0,22.19
2026-01-22,29.2,19.1,24.1,0.0,95,55,14.6,10.9,4.47,22.11,1.84,10.099999999999998,0,0,75.0,40,0,1,0,0,1,0,21.115
2026-01-23,30.0,20.4,24.6,0.6,96,51,17.8,10.4,4.23,20.57,2.06,9.600000000000001,0,0,73.5,45,0,1,0,0,0,0,21.715
2026-01-24,28.5,20.5,24.1,8.3,99,71,14.9,7.4,3.35,17.72,1.07,8.0,0,0,85.0,28,0,1,1,0,0,0,16.74
2026-01-25,29.6,22.6,25.8,1.4,99,65,15.7,8.4,4.2,20.3,1.46,7.0,0,0,82.0,34,0,1,0,0,0,0,18.72
2026-01-26,30.6,23.6,26.5,0.2,89,56,22.0,16.1,4.94,22.09,1.91,7.0,0,0,72.5,33,0,1,0,0,0,1,24.25
2026-01-27,30.1,22.6,25.8,0.0,95,56,20.8,16.3,4.91,21.73,1.86,7.5,0,0,75.5,39,0,1,0,0,1,1,22.97
